,Date,Measured Date,Depth, ,W.C., .1,Density
0,2/2017,25-Jan-2017,127.0,,44.5,,35%
1,3/2017,23-Feb-2017,107.5,,45.5,,42%
2,4/2017,28-Mar-2017,115.0,,56.5,,49%
3,5/2017,25-Apr-2017,105.5,,54.5,,52%
