,Date,Measured Date,Depth, ,W.C., .1,Density
0,1/2018,27-Dec-2017,1.0,,0.5,,50%
1,2/2018,28-Jan-2018,15.5,,4.0,,26%
2,3/2018,24-Feb-2018,4.5,,1.0,,22%
3,4/2018,30-Mar-2018,31.5,,12.0,,38%
4,5/2018,26-Apr-2018,6.0,,2.5,,42%
