,Date,Measured Date,Depth, ,W.C., .1,Density
0,1/2017,30-Dec-2016,15.5,,5.0,,32%
1,2/2017,28-Jan-2017,83.0,,27.0,,33%
2,3/2017,24-Feb-2017,122.0,,44.0,,36%
3,4/2017,26-Mar-2017,97.0,,44.5,,46%
4,5/2017,27-Apr-2017,90.0,,45.5,,51%
