,Date,Measured Date,Depth, ,W.C., .1,Density
0,2/2017,25-Jan-2017,117.0,,39.0,,33%
1,3/2017,23-Feb-2017,145.5,,57.0,,39%
2,4/2017,28-Mar-2017,122.5,,61.0,,50%
3,5/2017,27-Apr-2017,116.0,,58.0,,50%
