,Date,Measured Date,Depth, ,W.C., .1,Density
0,2/2017,26-Jan-2017,43.0,,10.5,,24%
1,3/2017,22-Feb-2017,34.5,,12.5,,36%
2,4/2017,28-Mar-2017,24.0,,9.5,,40%
3,5/2017,28-Apr-2017,2.5,,1.0,,40%
