,Date,Measured Date,Depth, ,W.C., .1,Density
0,2/2017,25-Jan-2017,83.0,,23.5,,28%
1,3/2017,24-Feb-2017,60.0,,15.5,,26%
2,4/2017,27-Mar-2017,55.5,,25.5,,46%
3,5/2017,25-Apr-2017,37.5,,20.0,,53%
