,Date,Measured Date,Depth, ,W.C., .1,Density
0,1/2018,28-Dec-2017,2.5,,1.0,,40%
1,2/2018,29-Jan-2018,13.5,,3.5,,26%
2,3/2018,25-Feb-2018,12.5,,4.0,,32%
3,4/2018,27-Mar-2018,46.5,,17.0,,37%
4,5/2018,25-Apr-2018,15.5,,8.5,,55%
