,Date,Measured Date,Depth, ,W.C., .1,Density
0,2/2017,27-Jan-2017,88.5,,31.5,,36%
1,3/2017,27-Feb-2017,105.0,,43.0,,41%
2,4/2017,28-Mar-2017,93.5,,53.5,,57%
3,5/2017,25-Apr-2017,100.0,,52.0,,52%
