,Date,Measured Date,Depth, ,W.C., .1,Density
0,2/2017,27-Jan-2017,77.5,,23.5,,30%
1,3/2017,28-Feb-2017,107.0,,38.5,,36%
2,4/2017,28-Mar-2017,95.0,,41.0,,43%
3,5/2017,27-Apr-2017,94.5,,44.5,,47%
