,Date,Measured Date,Depth, ,W.C., .1,Density
0,2/2017,26-Jan-2017,45.5,,18.5,,41%
1,3/2017,28-Feb-2017,59.5,,21.5,,36%
2,4/2017,28-Mar-2017,46.0,,19.5,,42%
3,5/2017,27-Apr-2017,7.5,,3.0,,40%
