,Date,Measured Date,Depth, ,W.C., .1,Density
0,1/2017,28-Dec-2016,0.0,,0.0,,0%
1,2/2017,30-Jan-2017,30.5,,9.0,,30%
2,3/2017,26-Feb-2017,28.0,,9.5,,34%
3,4/2017,28-Mar-2017,4.5,,2.0,,44%
4,5/2017,24-Apr-2017,0.0,,0.0,,0%
