,Date,Measured Date,Depth, ,W.C., .1,Density
0,1/2017,27-Dec-2016,15.5,,5.0,,32%
1,2/2017,29-Jan-2017,82.0,,26.0,,32%
2,3/2017,22-Feb-2017,117.0,,40.0,,34%
3,4/2017,30-Mar-2017,91.0,,42.0,,46%
4,5/2017,26-Apr-2017,90.0,,45.5,,51%
