,Date,Measured Date,Depth, ,W.C., .1,Density
0,1/2017,28-Dec-2016,11.5,,3.5,,30%
1,2/2017,27-Jan-2017,92.0,,29.0,,32%
2,3/2017,27-Feb-2017,117.5,,50.0,,43%
3,4/2017,27-Mar-2017,104.5,,49.5,,47%
4,5/2017,28-Apr-2017,93.0,,48.0,,52%
