,Date,Measured Date,Depth, ,W.C., .1,Density
0,2/2017,26-Jan-2017,63.0,,20.5,,33%
1,3/2017,28-Feb-2017,68.5,,25.5,,37%
2,4/2017,29-Mar-2017,60.5,,26.5,,44%
3,5/2017,28-Apr-2017,36.5,,17.0,,47%
