,Date,Measured Date,Depth, ,W.C., .1,Density
0,2/2017,27-Jan-2017,95.0,,29.5,,31%
1,3/2017,23-Feb-2017,97.5,,32.5,,33%
2,4/2017,27-Mar-2017,111.0,,50.5,,45%
3,5/2017,25-Apr-2017,107.0,,51.0,,48%
