,Date,Measured Date,Depth, ,W.C., .1,Density
0,1/2017,26-Dec-2016,2.0,,0.5,,25%
1,2/2017,26-Jan-2017,24.5,,5.0,,20%
2,3/2017,25-Feb-2017,27.5,,8.0,,29%
3,4/2017,29-Mar-2017,0.0,,0.0,,0%
4,5/2017,25-Apr-2017,0.0,,0.0,,0%
