,Date,Measured Date,Depth, ,W.C., .1,Density
0,2/2017,26-Jan-2017,182.5,,73.5,,40%
1,3/2017,28-Feb-2017,238.5,,118.5,,50%
2,4/2017,29-Mar-2017,243.5,,133.5,,55%
3,5/2017,27-Apr-2017,266.0,,131.5,,49%
