,Date,Measured Date,Depth, ,W.C., .1,Density
0,2/2017,25-Jan-2017,50.0,,13.0,,26%
1,3/2017,22-Feb-2017,56.0,,19.0,,34%
2,4/2017,31-Mar-2017,35.5,,14.0,,39%
3,5/2017,25-Apr-2017,15.0,,7.0,,47%
