,Date,Measured Date,Depth, ,W.C., .1,Density
0,1/2017,29-Dec-2016,8.5,,2.5,,29%
1,2/2017,25-Jan-2017,59.0,,17.0,,29%
2,3/2017,26-Feb-2017,86.5,,26.5,,31%
3,4/2017,25-Mar-2017,67.0,,28.0,,42%
4,5/2017,24-Apr-2017,59.0,,26.0,,44%
