,Date,Measured Date,Depth, ,W.C., .1,Density
0,1/2017,27-Dec-2016,2.5,,0.5,,20%
1,2/2017,28-Jan-2017,41.0,,12.0,,29%
2,3/2017,24-Feb-2017,47.5,,16.0,,34%
3,4/2017,26-Mar-2017,31.0,,12.0,,39%
4,5/2017,26-Apr-2017,0.0,,0.0,,0%
