,Date,Measured Date,Depth, ,W.C., .1,Density
0,2/2017,26-Jan-2017,74.0,,23.0,,31%
1,3/2017,28-Feb-2017,87.5,,31.0,,35%
2,4/2017,28-Mar-2017,82.5,,35.5,,43%
3,5/2017,27-Apr-2017,64.5,,31.5,,49%
