,Date,Measured Date,Depth, ,W.C., .1,Density
0,2/2017,01-Feb-2017,27.0,,8.5,,31%
1,3/2017,28-Feb-2017,23.0,,7.0,,30%
2,4/2017,30-Mar-2017,4.0,,1.0,,25%
