,Date,Measured Date,Depth, ,W.C., .1,Density
0,2/2017,27-Jan-2017,56.5,,15.5,,27%
1,3/2017,22-Feb-2017,67.5,,22.5,,33%
2,4/2017,28-Mar-2017,48.0,,20.5,,43%
3,5/2017,27-Apr-2017,28.5,,14.0,,49%
