,Date,Measured Date,Depth, ,W.C., .1,Density
0,1/2017,26-Dec-2016,17.0,,5.0,,29%
1,2/2017,26-Jan-2017,73.0,,24.0,,33%
2,3/2017,25-Feb-2017,104.5,,39.5,,38%
3,4/2017,29-Mar-2017,76.0,,35.5,,47%
4,5/2017,25-Apr-2017,73.5,,36.5,,50%
