,Date,Measured Date,Depth, ,W.C., .1,Density
0,2/2018,29-Jan-2018,16.0,,4.0,,25%
1,3/2018,23-Feb-2018,9.0,,2.0,,22%
2,4/2018,27-Mar-2018,46.0,,17.0,,37%
3,5/2018,24-Apr-2018,11.0,,6.0,,55%
